# manufacturer,model,runtime_library_version
QTI,SM8750,v79
QTI,SM8650,v75
QTI,SM8550,v73
QTI,SM8635,v73
QTI,SM7675,v73
QTI,QCM8550LA,v73
QTI,QCM8550LE,v73
Qualcomm,SM8550,v73
Qualcomm,SM8635,v73
Qualcomm,SM7675,v73
Qualcomm,QCM8550LA,v73
Qualcomm,QCM8550LE,v73
QTI,SM8475,v69
QTI,SM8450,v69
QTI,SM7450,v69
QTI,SXR2230P,v69
QTI,SXR2250P,v69
Qualcomm,SM8475,v69
Qualcomm,SM8450,v69
Qualcomm,SM7450,v69
Qualcomm,SXR2230P,v69
Qualcomm,SXR2250P,v69
QTI,SM8350,v68
QTI,SM8350P,v68
QTI,SM7325,v68
QTI,QCM6490,v68
Qualcomm,SM8350,v68
Qualcomm,SM8350P,v68
Qualcomm,SM7325,v68
Qualcomm,QCM6490,v68
QTI,SM8250,v66
QTI,SM7250,v66
QTI,SM7225,v66
QTI,SM6350,v66
QTI,QRB5165U,v66
QTI,QRB5165LE,v66
QTI,QCS7230LA,v66
QTI,QCS7230LE,v66
QTI,SM6375,v66
Qualcomm,SM8250,v66
Qualcomm,SM7250,v66
Qualcomm,SM7225,v66
Qualcomm,SM6350,v66
Qualcomm,QRB5165U,v66
Qualcomm,QRB5165LE,v66
Qualcomm,QCS7230LA,v66
Qualcomm,QCS7230LE,v66
Qualcomm,SM6375,v66
